date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Fri Sep 27 2019 07:44:46 GMT-0400 (Eastern Daylight Time), Warehouse Manager,"Secaucus, NJ",Current Employee ,Operational mess,I have been working at The RealReal full-time for more than a year,4,See some interesting products come into inventory. I'm an advocate for recycling and sustainability.,"Lots of turnover with operations. Leadership is rarely even at the warehouse. Meanwhile we are trying to cobble together various inventory and warehouse systems to help ""automate"" a supply chain that is massively human capital intensive and cannot be handled by machines. Upper management has no grasp of this reality and blames the constant service shortfalls on ops when in fact they've set totally unattainable...",Focus all your efforts on the ops supply chain and stop expanding into product categories that cannot be processed efficiently.,1.0,1.0,1.0,1.0,1.0,1.0
Sun Sep 22 2019 22:17:20 GMT-0400 (Eastern Daylight Time), Copywriter,"Brisbane, CA",Former Employee ,Sweatshop,I worked at The RealReal full-time for more than a year,9,"I cannot actually list 5 words that are ""Pros"". Maybe the pros are once you are in a position to leave it teaches you about how workers are exploited and the imbalance of the fair treatment of the working class vs white collar. Also another pro is understanding that most corporations core values are to try and get the most profit while paying their workers as little as possible.. within a Neo liberal free market...","Once I left I realized how terrible it was and needed time for both emotional and psychical recovery. This job violates so many labor laws. This job has mandatory overtime ( 9 hours a day every at the last week of the month), working 6 consecutive days at the end of the month, no holidays off, quotas changing without pay compensation, exploitation of workers without college degrees, wage slavery, manipulation of...","None
This is a bad company and Julie Wainwright is a bad person",1.0,1.0,1.0,1.0,1.0,1.0
Thu Sep 19 2019 14:34:14 GMT-0400 (Eastern Daylight Time), Photographer,"San Francisco, CA",Former Employee ,"Without a doubt, the absolute worst job I've ever had",I worked at The RealReal full-time for more than 3 years,9,The only good thing to come of this job was meeting some very great people. My fellow photographers and I grew close because day in and day out we had to survive the most toxic and abusive workplace of all time.,"Where to even begin? First of all, the business model of TRR is impossible to scale. The fact that they were able to swindle anyone into investing into this horrible idea is mindblowing. The lack of scalability, coupled with a completely baffled and lost management team, is the sole reason this place is a hell hole.

Allow me to explain.

Every single item that is for sale on the TRR website must be INDIVIDUALLY...",Close the business permanently.,1.0,1.0,1.0,1.0,1.0,1.0
Thu Sep 19 2019 18:54:53 GMT-0400 (Eastern Daylight Time),,"Secaucus, NJ","Fashion Copywriter in Secaucus, NJ",Not a forever job. Keep looking. Only work here if you know the managers personally.,I have been working at The RealReal,6,"You will learn how to play the game of “sucking up” to be promoted! Being educated and bringing knowledge to the industry is not needed. It’s more about who your friends with and what boss your kissing up to during that time!

YES... 
Friday and Saturday you get free bagels.
Monday’s free lunch 
Cupcakes and pizza once a month
BUT... when it is free food day the cafeteria is a total zoo. Most definitely is a...","At first it seems like a pretty good job that can potentially become a career. After a few weeks you are expected to hit a ridiculous goal. I promise your eyes, back, and shoulders will be killing you after 6 months. Everyday for 8+ or 10+ hours you sit at your tight desk with terrible lighting and process items all day long. The goal is constantly being raised for no reason. Because of this, it forces copywriters...","Stop hiring your uneducated/ unqualified childhood besties and start promoting the talented, creative, experienced people who have been with the company for YEARS and know how to conduct business the ‘REAL’ and right way.",1.0,,,,,
Wed Sep 18 2019 18:10:06 GMT-0400 (Eastern Daylight Time), Merchandising Manager,"San Francisco, CA",Current Employee ,Not Great At All,I have been working at The RealReal full-time for more than a year,7,"Free lunch, that's about it.","Awful atmosphere, petty management, it was overall a sad a demoralizing place.",Grow up?,1.0,1.0,1.0,1.0,1.0,1.0
Sat Sep 07 2019 17:19:40 GMT-0400 (Eastern Daylight Time), Merchandiser,"New York, NY",Former Employee ,The worst work experience of my life,I worked at The RealReal full-time for more than a year,3,"-Making monthly goals in store gets you a 500$ check once a month (must make the goal) 
- Surrounded with some of the highest value luxury goods
-Some TRR employees are the best of the best (not management)","- Work conditions are horrendous
- Management are the biggest flaw of the entire operation
- No communication 
-Write ups for pretty much any reason they desire (if you aren’t kissing butt) 
-NO PROMOTIONS FROM WITHIN(unless you’re friends with a manager already) 
-The More work you’re expected to do the less you get paid. 
Any so many more cons",Throw all managers in the trash & start new.,1.0,1.0,3.0,1.0,1.0,1.0
Fri Aug 30 2019 15:14:49 GMT-0400 (Eastern Daylight Time), Customer Service Representative,"Brisbane, CA",Former Employee ,A BILLION DOLLAR COMPANY ACROSS FROM A TRAILER PARK,I worked at The RealReal full-time,10,"None, this company is worth a billion dollars. The pay minuscule rate, a $50 eat club card per month, the office is across from a Trailer Park.","The company is a con, understaffed, low pay and underqualified employees",Change everything treat your employees like you treat your customers.,1.0,1.0,1.0,1.0,1.0,1.0
Sat Jul 20 2019 18:35:59 GMT-0400 (Eastern Daylight Time), Production Assistant,"San Francisco, CA",Former Employee ,Non Transparent in Interview Process - Heavy Manual Labor,I worked at The RealReal full-time for less than a year,6,They provide a vending machine with food you can buy.,Quota based work that is not transparent when you first start. Lifting mannequins over and over again is very taxing on the back and I'm a young able bodied person. They treat the photographers like lower class citizens because we're really just disposable and it's about shoving as much product through the pipeline as possible.,Better job of describing what the job actually looks like. Act like you care about the employees more. Invest in RFID readers because the barcode scanning takes away valuable time.,3.0,2.0,2.0,3.0,2.0,3.0
Thu Aug 01 2019 16:10:38 GMT-0400 (Eastern Daylight Time), Copywriter,"New York, NY",Former Employee ,Nah,I worked at The RealReal full-time for less than a year,9,"when you work overtime you get paid time and a half - and you'll work a lot of overtime, which is good because you get paid so little",managers are terrible; there are cliques and gossip and unprofessional people who pretend to work in fashion; all around bad experience.,actually hire people who will work with their employees,2.0,,,,,
Thu Aug 22 2019 11:32:23 GMT-0400 (Eastern Daylight Time), Consignor Relations,"Brisbane, CA",Former Employee ,Do not work here!!!!!,I worked at The RealReal full-time for more than a year,11,"Bagels, and the agents I worked with were great.","HR, Upper management is not knowledgeable, unorganized, and the pay is not competitive, no room for growth.",Develop your internal employees to step into management roles. Listen to their concerns. And show appreciation.,1.0,2.0,1.0,1.0,2.0,1.0
Fri Jul 19 2019 11:40:56 GMT-0400 (Eastern Daylight Time), Senior Specialist,"Secaucus, NJ",Former Employee ,"Work for a Year at Secacucas Location, New Jersey",I worked at The RealReal full-time for more than a year,0,"You will see very different & Challanging Prodcuts to appraise. Positive environment. Loved the work. Learn alot about different brands and techniques. Learn about Jewelry Histories a,d old techniques. Kind of a Great Learning Exeperiance. Lot of training and Backend Mterial is provided. Team is helpful.",No windows as its kind of Lab atmosphere. Gem identification lab is common. You gets loop and other small equipments though. Have to make goals.,Good Luck.,4.0,4.0,3.0,4.0,2.0,4.0
Mon Jul 15 2019 14:15:32 GMT-0400 (Eastern Daylight Time), Loss Prevention Agent,"Brisbane, CA",Current Employee ,Loss Prevention Specialist,I have been working at The RealReal full-time for less than a year,0,"Work at your pace, even though you need to always prove you are worth it!","None really, being a baby but fast growing company!",More structured MOO,5.0,4.0,3.0,5.0,3.0,3.0
Thu Aug 08 2019 19:16:35 GMT-0400 (Eastern Daylight Time), Upper Management,"Secaucus, NJ",Current Employee ,RUN!!,I have been working at The RealReal full-time for more than a year,11,Some very intelligent people working here decent benefits,Severely mismanaged. Claims to be green but waists more paper than any company I know of. Lack of systems requires excessive use of paper that just gets tossed. No operational sense and the owner is all about appearances and not about infrastructure. Still working as if they are in the early 90’s but expect miracles and efficiency. There’s a reason why there are so many horrible reviews and so many people leave,Wake up and and add some technology stop waiting money on pointless items and babying people. Spend money on proper systems to drive the business forward and reduce cost in the long term. Keep Julie and Rati out of Operations and hire a COO who is and operator not a merchant.,1.0,2.0,1.0,1.0,4.0,1.0
Wed Jul 31 2019 10:59:09 GMT-0400 (Eastern Daylight Time), Copywriter,,Former Employee ,Loved it at first but it turned out to be a big disappointment.,I worked at The RealReal full-time,8,Cool business model and operation.,"They deducted more than US$500 worth of taxes from my paychecks that they weren't supposed to, and when I reached out to payroll about it, they said they couldn't refund me, that I'd have to do that through IRS and apply to get the taxes back. Turns out I can't do that because they misspelled my name on my W2 form and they have been ignoring my emails about correcting it. Huge disappointment! 
Also, they say they...",,1.0,1.0,1.0,1.0,2.0,2.0
Wed Jun 19 2019 10:32:55 GMT-0400 (Eastern Daylight Time), Product Receiver,"Brisbane, CA",Former Employee ,Felt like high school,I worked at The RealReal full-time for less than a year,4,"Free meals, nice management, and benefits",Stylist need to be more strict on what that pick to be evaluated.,"Felt like high school, not flexible with hours, and a bit dirty. I was a product receiver, so I got all the clothes that stylist hand pick to be evaluated and most of the clothes were filthy and disgusting which is a shame because they actually see these clothes first and should know certain things are not clean. I like the business and the idea of selling and buying luxury items but the work space needs be better...",3.0,2.0,2.0,2.0,3.0,3.0
Wed Jun 19 2019 20:23:03 GMT-0400 (Eastern Daylight Time),,"San Francisco, CA",Current Employee ,"Happy place, great company",I have been working at The RealReal full-time for less than a year,1,"Scrappy, in a good way, which gives people the opportunity to learn a lot more, and faster, than one would at most other companies.","Benefits could be better, but unlimited time off policy is great",,5.0,5.0,5.0,5.0,5.0,5.0
Fri Jun 14 2019 11:23:34 GMT-0400 (Eastern Daylight Time), Photo Production Assistant,"Perth Amboy, NJ",Current Employee ,LOVE this place!,I have been working at The RealReal full-time for less than a year,0,"The management here is awesome, they really care about the team. There's so much room for growth internally it's insane. It's such a fun work environment. The best part is that you aren't being micro managed like most places.",Dealing with the mannequin.,n/a,5.0,5.0,5.0,5.0,5.0,5.0
Tue Jun 04 2019 15:58:42 GMT-0400 (Eastern Daylight Time), Client Service Associate,"Brisbane, CA",Current Employee ,"Great benefits, not a great work environment",I have been working at The RealReal full-time for less than a year,3,"The benefits are amazing, the company always feeds you, it's pretty laid back","the management is very unprofessional, they are still going through growing pains as if they are a brand new company, terrible training , no growth or promotions",Try to be more personable,3.0,1.0,4.0,1.0,4.0,1.0
Tue Jun 11 2019 10:56:15 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Not worth it,I have been working at The RealReal full-time for more than a year,7,"Benefits, leniency, company culture, opportunity for growth.","Goals, expectations, long hours, treatment of employees. Across the board, most employees are unhappy working for this company, including management.",Giving your employees impossible goals and stressing out every position from sales to photo is a horrible business model. There's a reason there is such a high turnover.,2.0,1.0,5.0,4.0,4.0,2.0
Sun Jun 02 2019 18:21:37 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Good stepping stone,I worked at The RealReal full-time for less than a year,0,"Stable place with good hours, easy work, and flexible managers.",Not really a place to grow a career.,,3.0,,,,,
Thu May 30 2019 22:58:32 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Customer service rep review,I have been working at The RealReal full-time,0,The staff I work with is amazing,The strict time constraints for goals,,5.0,,,,,
Fri Jun 28 2019 22:50:26 GMT-0400 (Eastern Daylight Time),,"San Francisco, CA",Former Employee ,"Low pay, no respect for anyone’s skill sets",I worked at The RealReal full-time for less than a year,6,"None currently. Pays unique, hard positions near minimum wage.",Lowest pay I’ve ever seen. Let’s hire for a professional retoucher with years of experience who went through schooling and training and pay him a few bucks more than In n Out while the ceo keeps all the big money.,Realize that actual positions have a certain talent is earned through years of practice and experience. Don’t offer pay that is near minimum wage. No wonder why this position is constantly posted on Glassdoor.,1.0,1.0,1.0,1.0,1.0,1.0
Tue May 21 2019 17:00:44 GMT-0400 (Eastern Daylight Time), Luxury Client Manafer,"Houston, TX",Current Employee ,great place,I have been working at The RealReal full-time for more than 3 years,0,real opportunity to make good money while actually have time to live a real life,"because of constant growth, there is so much change","keep in mind we are out on the field, doing everything you need to do on a laptop on a cellphone, while keeping track of 300+ clients and driving",4.0,5.0,3.0,4.0,4.0,4.0
Sun Jun 16 2019 11:27:50 GMT-0400 (Eastern Daylight Time), Associate Site Merchandiser,"San Francisco, CA",Former Employee ,Worst management I have ever experienced.,I worked at The RealReal full-time for more than a year,5,"Unlimited PTO 
$25 worth of free snacks per month","Horrible management 
No structure 
No one seems to know what they’re doing 
Turnover is incredibly high",,1.0,1.0,1.0,1.0,2.0,1.0
Wed May 15 2019 07:02:43 GMT-0400 (Eastern Daylight Time), Product Handler,"Perth Amboy, NJ",Current Employee ,Love working at TheRealReal,I have been working at The RealReal full-time,0,"Free Food on a regular, holiday and birthday celebrations. Room for growth! 
To be honest the best company i've worked for. New start In Perth Amboy!!!",Need to get rid of the weaker links.,Hold people Accountable.,5.0,4.0,5.0,5.0,4.0,4.0
Fri May 10 2019 17:31:57 GMT-0400 (Eastern Daylight Time), Warehouse Tech,"Perth Amboy, NJ",Current Employee ,Warehouse tech,I have been working at The RealReal full-time for less than a year,0,"I just started working at the new warehouse in Perth Amboy and it is a great place to work. Everyone here is friendly from Dave my recruiter to the HR ladies and the security people - everyone is really warm and welcoming. The training was great and our Manager Carlos is really a good guy to work for. The building is so nice, we have two cafeterias and they give us lunch two days a week and bagels. So happy I...",It’s been a great experience and there is nothing I can think of to improve.,Keep up the great work,5.0,5.0,5.0,5.0,5.0,5.0
Mon Apr 29 2019 21:25:22 GMT-0400 (Eastern Daylight Time), Manager,"New York, NY",Former Employee ,Not supportive of women,I worked at The RealReal full-time for more than 3 years,5,"Exciting company, you get to work with beautiful things","No room for growth, rampant nepotism",Create better career paths,3.0,3.0,2.0,2.0,3.0,1.0
Wed May 01 2019 19:35:48 GMT-0400 (Eastern Daylight Time), Copywriter,"San Francisco, CA",Current Employee ,A startup with room for improvement,I have been working at The RealReal full-time for more than a year,3,Great place to learn about luxury fashion.,"Everybody is overworked and underpaid. Long hours, no holidays. Focus is on quantity over quality.",,3.0,2.0,2.0,3.0,2.0,3.0
Thu Jun 06 2019 09:52:17 GMT-0400 (Eastern Daylight Time),,"New York, NY",Former Employee ,"Bad Habits, Bad Eggs",I worked at The RealReal full-time for more than a year,6,"Retail environment, free standing stores","Lunches often no provided, rude upper management, take advantage of employees times. Get the offer the verbal tell you in writing before signing on. Leadership gets defensive when asked questions.

Consignments are labeled with a post it and then shoved into a room with zero care. They are then shoved into a non a/c controlled van. There is zero care taken with your items. I have seen Hermes and Chanel bags under...",Watch the cameras.,1.0,1.0,1.0,1.0,5.0,1.0
Mon Jun 03 2019 17:21:11 GMT-0400 (Eastern Daylight Time), Developer,,Former Employee ,"Awful place, not a tech company, stay far away",I worked at The RealReal full-time for less than a year,8,Things are so disorganized you can get away with not doing much,"Most disorganized place I have ever worked. Management doesn't know what they want, business side is completely out to lunch. Stay far away",,1.0,1.0,1.0,1.0,,
Tue Jun 04 2019 11:10:39 GMT-0400 (Eastern Daylight Time), Copywriting,"Secaucus, NJ",Current Employee ,Copywriter-Secaucus,I have been working at The RealReal full-time for more than a year,4,Free lunch once a week,"There are holes in the ceiling of the women's bathroom. There is little to no opportunity for growth. Your responsibilities will increase ten fold, but you will receive the minimum raise every review.","Value your employees, don't try to placate them with free Qdoba",1.0,1.0,1.0,1.0,1.0,1.0
Sat Jun 01 2019 20:09:15 GMT-0400 (Eastern Daylight Time), Customer Service Representative,"Secaucus, NJ",Current Employee ,Thumbs Down!,I have been working at The RealReal full-time for more than a year,5,"Free lunch 3 times a week, health benefits and overtime opportunities","PTO system, Poor office culture and environment",,1.0,2.0,1.0,2.0,3.0,1.0
Tue Apr 30 2019 19:18:17 GMT-0400 (Eastern Daylight Time), Customer Service Representative,,Current Employee ,It’s ok,I have been working at The RealReal full-time for less than a year,0,"Relaxed atmosphere 
Snacks given to you
Flexible with schedule",Customers are horrible & make the job difficult,,3.0,,,,,
Sun Apr 21 2019 23:38:32 GMT-0400 (Eastern Daylight Time), Photo Production Assistant,"Secaucus, NJ",Current Employee ,Great Industry Job and Opportunity; Management structure needs work,I have been working at The RealReal full-time for less than a year,4,"Free lunch, great networking opportunities, learning valuable and translatable knowledge, the photo team stuck together; teamwork was very strong and supportive. Generous and mandatory overtime and an incentive percentage program are opportunities to make more money. Great benefits and perks.",Company is a revolving door. Class action suit waiting to happen if they don't listen to the needs of their employees. Paying NJ state taxes if you commute from neighboring states. Too many changes in upper level management. Management can play favorites/politics sometimes.,"Take better care of employees needs. Managers don't exactly have the best management training, however this did improve over time.",3.0,3.0,4.0,3.0,4.0,3.0
Thu May 16 2019 20:01:18 GMT-0400 (Eastern Daylight Time),,,Former Employee ,"Disorganized, lack of compassion and not open to change.",I worked at The RealReal full-time for less than a year,8,Potential that exists in the consignment space,"Hiring managers did a horrible job explaining the details of the actual job I would be doing - lots of smoke and mirrors.

Lots of promises made that were not backed up.

Senior leadership is extremely unprofessional with no compassion for those on the front line, poor communication.",,1.0,1.0,1.0,3.0,3.0,1.0
Sat Apr 06 2019 19:47:43 GMT-0400 (Eastern Daylight Time), Copywriter,"Secaucus, NJ",Former Employee ,Handbag Copywriter,I worked at The RealReal full-time for less than a year,5,All of the employees are extremely nice. It's amazing how kind they are after working such crazy hours. It's a great place to build connections and even make long term friends. You also learn about the ins and outs of fashion,"Most managers are good with an exception of a few. In fact, there's specifically ONE manager that seems kind of racist. It's so obvious that managers don't communicate with each other since their guidelines always contradict with one another. In other words, among the managers favoritism is so obvious.",More training on authenticating items. You can't rush such a process,3.0,1.0,5.0,5.0,5.0,1.0
Fri May 10 2019 16:41:09 GMT-0400 (Eastern Daylight Time), ALM,"New York, NY",Former Employee ,Toxic Environment,I worked at The RealReal full-time for less than a year,10,Stocked kitchen.... seeing awesome one of a kind luxury pieces come in before they are available to the public for sale? I mean the concept is great and I will continue to support the company and buy from them but i wouldnt tell my worst enemy to work there.,"Absolutely the worst job position I ever had. Abusive rude managers who were unrealistic and caddy. The job itself is obscene where you are literally schelping designer crap to and from peoples homes like a messenger.... however that is just one facet to this never ending sad job. Unrealistic quotas, petty criticism instead of praise.... and then there is the core group of employees that have been there since the...","Act professional, be realistic in knowing that others have a better set base of clients and that is the only reason they achieve their goals.... it is all a game of luck an fate.... not because you send out some mothers-day/spring cleaning email does that mean you have clients in your base that have endless birkins and Cartier jewelry.",1.0,1.0,1.0,1.0,1.0,1.0
Thu May 02 2019 23:12:52 GMT-0400 (Eastern Daylight Time), Copywriting,"Brisbane, CA",Former Employee ,Definitely the worst company I've ever worked for,I worked at The RealReal full-time for less than a year,9,Met a lot of cool people,"Terribly managed, everyone is overworked and underpaid, no holidays, awful and unsafe working conditions for the home and art team. Management was consistently condescending and only cared about themselves- one manager in particular loved to power trip and along with being gloriously incompetent, was pretty sexist. He once outed a girl for being on her period in the MIDDLE OF A MEETING. He also once told a...","Treat people like people and not numbers. Understand that if you put in the work to foster a positive, happy work environment, full of people who feel empowered and appreciated, they'll reward you with great work and great loyalty. Be better, in literally every way, TRR.",1.0,1.0,1.0,1.0,1.0,1.0
Mon Apr 08 2019 05:11:39 GMT-0400 (Eastern Daylight Time), Specialist,"Secaucus, NJ",Current Employee ,Reviewing the Total Package,I have been working at The RealReal full-time for less than a year,7,The bagels are provided on a weekly basis.,"Despite making less mistakes and producing more, being paid less and not considered to have 'leadership' skills for a more senior position.",Experience and knowledge of the field you are working in is valuable and will create a more productive environment.,2.0,2.0,1.0,2.0,3.0,1.0
Tue Apr 02 2019 09:51:09 GMT-0400 (Eastern Daylight Time),,"Secaucus, NJ",Current Employee ,Growing Company,I have been working at The RealReal full-time for less than a year,0,"Room to grow/Advance, Flexible eschedule, stability, Great co-worker's, Great benifits, lots of perks",Growing so quick there is a lot changes and moving around,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Apr 01 2019 20:14:14 GMT-0400 (Eastern Daylight Time), Receiving,"New York, NY",Current Employee ,I hope you like multiple jobs.,I have been working at The RealReal full-time for less than a year,4,"Access to brands you'd never have access to normally.
Learning how to work in an office.","Poor communication between management and employees.
Unexpected additional workloads.
Changes every few weeks disrupting the flow of the office.","Hire more, divide workflow evenly, talk to your employees more often, and compensate current employees properly.",2.0,3.0,1.0,3.0,2.0,1.0
Wed Mar 06 2019 11:22:52 GMT-0500 (Eastern Standard Time),,"Brisbane, CA",Current Employee ,I love TRR!,I have been working at The RealReal full-time for less than a year,2,"People, Management, Schedule, Location, Bagel Fridays, Unlimited coffee!","I can't think of anything, I love working at TRR",,5.0,5.0,5.0,5.0,5.0,5.0
Mon Feb 25 2019 18:38:21 GMT-0500 (Eastern Standard Time), Copy Writer,,Current Employee ,Ideal for Recent Grads or Someone,I have been working at The RealReal full-time,6,I will always point out the positive in anything prior to pointing out the negative. Here at The RealReal it’s an way place to learn about key industry trends consindering it’s necessary to stay abreast on certain things as a copywriter. They do feed you weekly and provide bagels every Friday.,"The downsides to working here, I’ll just list them below; 
• underpaid
• copywriters are not valued( so if you do get job here just make sure it’s in management) that is the only way the company will respect you and care about what you have to say. 
• there is constant change every week. 
• promoting people who are not qualified
• lack of communication from upper management 
• the company does not set you up...",Be more attentive to the professional needs to those who are not in management. They way the company treats the warehouse workers deters them from wanting to say with the company. Consider paying them more.,3.0,4.0,2.0,2.0,2.0,3.0
Mon Apr 08 2019 14:45:09 GMT-0400 (Eastern Daylight Time), Receiving,,Former Employee ,hostile work environment,I worked at The RealReal full-time for less than a year,7,better than retail sales schedule,whole bunch of high school graduates work here to create a hostile work environment. Worst HR department.,,1.0,3.0,1.0,1.0,1.0,1.0
Thu Feb 28 2019 14:33:17 GMT-0500 (Eastern Standard Time), Sales Development Representative,"San Francisco, CA",Current Employee ,Inside Sales Team (SDR Review),I have been working at The RealReal full-time for more than 3 years,2,"***This review is for the Inside Sales Team, and specifically the SDR role*** I have been employed at The RealReal for 3 years. 

Over the past 3 years, I have seen the company grow from 500 employees to 2,000+ employees. I have been promoted twice, and gained numerous professional and interpersonal skills from working here.

I began my time at The RealReal as a recent college graduate. I was initially hired...","Although we are more mature than a startup, it is still very much ""startup mentality"" here. Being able to quickly adapt to change is important. Internal systems are still being built out, and are not always working as well as expected. You will wear several hats in whatever role you are in. 

Promotions/advancements are not handed out automatically. I've had to apply for and interview for each of the internal...","Actively listen to the sales team about any concerns or pain points. While it is totally understandable that issues cannot be corrected instantly, the sales team works with company systems and clients every day and would be great consultants in these matters as people on the front lines. 

Asking more questions about challenges and different initiatives before they are rolled out would be great as well. Positive...",5.0,5.0,5.0,4.0,4.0,4.0
Tue Mar 05 2019 19:17:40 GMT-0500 (Eastern Standard Time),,,Current Employee ,Great place to work at,I have been working at The RealReal full-time for less than a year,0,Free lunches. Shuttle to train. Good flexible hours.,Long hours with a lot of work.,,5.0,5.0,,,,
Sat Mar 02 2019 10:18:04 GMT-0500 (Eastern Standard Time), Temp Sales Assistant,"New York, NY",Former Employee ,I worked Temporarily for 3 months.,I worked at The RealReal full-time for less than a year,0,Great Working Environment. They encourage you to move up.,No Cons in my experience.,,4.0,5.0,5.0,5.0,3.0,5.0
Thu Feb 28 2019 13:53:55 GMT-0500 (Eastern Standard Time), Inside Sales,"San Francisco, CA",Current Employee ,Investments are Working!,I have been working at The RealReal full-time for more than 3 years,0,"Lots of growth and opportunities. The business is growing quickly and anyone can still have a substantial impact on the company's success. You are in control of your own success and if you hustle hard to hit your quota, you can benefit from uncapped commission.",The business changes courses quickly and to be successful you must be nimble.,Continue to invest in training and development of individual contributors and management. The investment is paying off!,5.0,4.0,3.0,5.0,3.0,4.0
